Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0036745,,2444863,16417ce6-740d-448f-b068-7ac0770ce4b6,PV R 5764,Iguanodon atherfieldensis,,Atherfield,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,atherfieldensis,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R5764,http://data.nhm.ac.uk/specimen/16417ce6-740d-448f-b068-7ac0770ce4b6,http://dx.doi.org/10.1371/journal.pone.0045712,,2444863,16417ce6-740d-448f-b068-7ac0770ce4b6,PV R 5764,Iguanodon atherfieldensis,,Atherfield,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,atherfieldensis,Animalia; Chordata; Reptilia; Dinosauria; Ornithischia; Iguanodontidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 1899.7.1.804,http://data.nhm.ac.uk/specimen/17192353-4381-4bff-b77e-a09fbdc83a04,http://dx.doi.org/10.1371/journal.pone.0095296,,1689758,17192353-4381-4bff-b77e-a09fbdc83a04,1899.7.1.804,"Scrupocellaria maderensis Busk, 1860",,Trincomalee,Sri Lanka,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,maderensis,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
BMNH R14101,http://data.nhm.ac.uk/specimen/31a3426a-84ef-4a3f-a963-666216ae97a1,http://dx.doi.org/10.1371/journal.pone.0007783,PV R 14101 Marasuchus lilloensis Romer 1972,560802,31a3426a-84ef-4a3f-a963-666216ae97a1,PV R 14101,Marasuchus lilloensis Romer 1972,Holotype,"La Rioja, Argentina",Argentina,,PAL,Animalia,Chordata,Reptilia,Thecodontia,,Marasuchus,lilloensis,Animalia; Chordata; Reptilia; Thecodontia,,,Triassic,Middle Triassic,Middle Triassic
NHMUK 1928.9.13.98,http://data.nhm.ac.uk/specimen/1abf030c-1065-4487-a8f4-fbf64659601b,http://dx.doi.org/10.1371/journal.pone.0095296,,174689,1abf030c-1065-4487-a8f4-fbf64659601b,1928.9.13.98,Scrupocellaria madenensis,,,Sri Lanka,Siboga Expedition,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,,Scrupocellaria,madenensis,Bryozoa; Gymnolaemata; Cheilostomatida,,,,,
BMNH(E)1038600,http://data.nhm.ac.uk/specimen/31b28f2c-6a1c-482d-bf2a-cf734e56d420,http://dx.doi.org/10.1371/journal.pone.0051220,Principapillatus hitoyensis de Sena Oliveira 2012,2577661,31b28f2c-6a1c-482d-bf2a-cf734e56d420,BMNH(E)1038600,"Principapillatus hitoyensis de Sena Oliveira, 2012",paratype,Reserva Biologica Hitoy Cerere,Costa Rica,,BMNH(E),,Onychophora,Onychophorida,Euonychophora,Peripatidae,Principapillatus,hitoyensis,Onychophora; Onychophorida; Euonychophora; Peripatidae,adult,male,,,
NHMUK 47235,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0062421,,480772,1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,PV OR 47235,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 47235,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0084709,,480772,1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,PV OR 47235,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 47235*,http://data.nhm.ac.uk/specimen/1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,http://dx.doi.org/10.1371/journal.pone.0034094,,480772,1c2fdbcd-b911-4fea-8dbd-dc87a6b935dd,PV OR 47235,Ichthyosaurus sp.,,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK 1887.12.9.103,http://data.nhm.ac.uk/specimen/1cc18789-0b0a-458e-ac54-2bdaa1a4bfdf,http://dx.doi.org/10.1371/journal.pone.0095296,,1446445,1cc18789-0b0a-458e-ac54-2bdaa1a4bfdf,1887.12.9.103,"Scrupocellaria macandrei Busk, 1852",,,,,ZOO,,Bryozoa,,,,Scrupocellaria,macandrei,Bryozoa,,,,,
BMNH M 8512,http://data.nhm.ac.uk/specimen/b1d01430-0046-4650-a111-7008f9597b35,http://dx.doi.org/10.1371/journal.pone.0049054,,436190,b1d01430-0046-4650-a111-7008f9597b35,PV M 8512,,,,,,PAL,,,,,,,,,,,,,
BMNH(E)1038601,http://data.nhm.ac.uk/specimen/1d52b2d8-8fb1-4ade-82e8-949be6bac9ed,http://dx.doi.org/10.1371/journal.pone.0051220,,63973,1d52b2d8-8fb1-4ade-82e8-949be6bac9ed,BMNH(E)1038601,"Principapillatus hitoyensis de Sena Oliveira, 2012",paratype,Reserva Biologica Hitoy Cerere,Costa Rica,,BMNH(E),,Onychophora,Onychophorida,Euonychophora,Peripatidae,Principapillatus,hitoyensis,Onychophora; Onychophorida; Euonychophora; Peripatidae,adult,female,,,
NHMUK R8646,http://data.nhm.ac.uk/specimen/1d5b08f7-52eb-4f98-b120-c45c540e92df,http://dx.doi.org/10.1371/journal.pone.0072753,,1079568,1d5b08f7-52eb-4f98-b120-c45c540e92df,PV R 8646,"Parringtonia gracilis Huene, 1939",Holotype,Mkongoleko / Njalila; Ruhuhu Valley,Tanzania,,PAL,Animalia,Chordata,Reptilia,Archosauria,Erpetosuchidae,Parringtonia,gracilis,Animalia; Chordata; Reptilia; Archosauria; Erpetosuchidae,,,Triassic,Middle Triassic,Middle Triassic
BMNH 1946.1.1.94,http://data.nhm.ac.uk/specimen/b1dab9af-88e9-4381-8e0f-8f6aec0f7ab8,http://dx.doi.org/10.1371/journal.pone.0115679,,1640943,b1dab9af-88e9-4381-8e0f-8f6aec0f7ab8,1946.1.1.94,"Aipysurus apraefrontalis Smith,1926",holotype,"Ashmore Reefs, Timor Sea",Australia,,ZOO,Animalia,Chordata,Reptilia,,Elapidae,Aipysurus,apraefrontalis,Animalia; Chordata; Vertebrata; Reptilia; Elapidae,,,,,
BMNH 1946.1.5.20,http://data.nhm.ac.uk/specimen/41e46aa2-25a4-4f96-a92c-71bc00d85229,http://dx.doi.org/10.1371/journal.pone.0042970,,773415,41e46aa2-25a4-4f96-a92c-71bc00d85229,1946.1.5.20,Lycodryas sancti-johannis,Type,Johanna,,,ZOO,,,,,Colubridae,Lycodryas,sancti-johannis,Colubridae,,Male,,,
BMNH:1945.9.26.101-104,http://data.nhm.ac.uk/specimen/1f049bfb-49b7-4ef2-8dc9-ee0db9391d3e,http://dx.doi.org/10.1371/journal.pone.0001960,,839685,1f049bfb-49b7-4ef2-8dc9-ee0db9391d3e,1945.9.26.101-104,"Asterope mariae Baird, 1850",types,Skye and Shetlands.,Scotland,,ZOO,,Arthropoda,Ostracoda,,Cylindroleberidae,Asterope,mariae,Arthropoda; Crustacea; Ostracoda; Cylindroleberidae,adult,,,,
