Putative Entity,NHM Data Portal Link,Article DOI Link,Notes,_id,occurrenceID,catalogNumber,scientificName,typeStatus,locality,country,expedition,collectionCode,kingdom,phylum,class,order,family,genus,specificEpithet,higherClassification,lifeStage,sex,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries
NHMUK 1911.10.1.385,http://data.nhm.ac.uk/specimen/5a0b7d63-c26d-4961-89f7-627c19f79188,http://dx.doi.org/10.1371/journal.pone.0095296,,2329411,5a0b7d63-c26d-4961-89f7-627c19f79188,1911.10.1.385,"Scrupocellaria incurvata Waters, 1897",,,,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria,incurvata,Bryozoa; Gymnolaemata; Cheilostomatida; Candidae,,,,,
BMNH(E) 1239048,http://data.nhm.ac.uk/specimen/5ad66021-5834-4897-a058-11afd4c2be8c,http://dx.doi.org/10.1371/journal.pone.0121127,,2373113,5ad66021-5834-4897-a058-11afd4c2be8c,BMNH(E)1239048,Chrysoperla carnea Stephens,lectotype,,,,BMNH(E),,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,carnea,Arthropoda; Insecta; Neuroptera; Chrysopidae,,,,,
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0034094,,2055944,5adbce1b-4861-4665-8bd5-e819c4a1a3a7,PV OR 32406,"Ichthyosaurus campylodon Carter, 1846",,(?) Kilmington,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0062421,,2055944,5adbce1b-4861-4665-8bd5-e819c4a1a3a7,PV OR 32406,"Ichthyosaurus campylodon Carter, 1846",,(?) Kilmington,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 32406,http://data.nhm.ac.uk/specimen/5adbce1b-4861-4665-8bd5-e819c4a1a3a7,http://dx.doi.org/10.1371/journal.pone.0084709,,2055944,5adbce1b-4861-4665-8bd5-e819c4a1a3a7,PV OR 32406,"Ichthyosaurus campylodon Carter, 1846",,(?) Kilmington,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 1996.4.26.5,http://data.nhm.ac.uk/specimen/5bd73cc6-3628-4bbb-bfa9-f397316b6d5b,http://dx.doi.org/10.1371/journal.pone.0095296,,5690,5bd73cc6-3628-4bbb-bfa9-f397316b6d5b,1996.4.26.5,Scrupocellaria minuta Kirkpatrick,,"Tamarin, reef front, Mauritius.",Mauritius,,ZOO,,Bryozoa,,,,Scrupocellaria,minuta,Bryozoa,,,,,
NHMUK 2047*,http://data.nhm.ac.uk/specimen/5c7fcb5b-c66f-4032-b20c-12efef2e48ae,http://dx.doi.org/10.1371/journal.pone.0031838,,182245,5c7fcb5b-c66f-4032-b20c-12efef2e48ae,PV OR 2047 *,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK 2010.12.6.1,http://data.nhm.ac.uk/specimen/5d4be26e-42ec-4821-86e3-a6eec6c9ae07,http://dx.doi.org/10.1371/journal.pone.0095296,,1639154,5d4be26e-42ec-4821-86e3-a6eec6c9ae07,2010.12.6.1,"Chrysophrys xanthopoda Richardson, 1846",HOLOTYPE?,China,China,,ZOO,,,Actinopterygii,Perciformes,Sparidae,Chrysophrys,xanthopoda,Actinopterygii; Perciformes; Percoidei; Sparidae,,,,,
BMNH M 8873,http://data.nhm.ac.uk/specimen/f5de5e4d-bf48-45ef-8d7b-5484f9aa78fd,http://dx.doi.org/10.1371/journal.pone.0049054,,171991,f5de5e4d-bf48-45ef-8d7b-5484f9aa78fd,PV M 8873,,,,,,PAL,,,,,,,,,,,,,
BMNH R.8303,http://data.nhm.ac.uk/specimen/5e597c7e-8056-4fa4-8e72-213bdb6a6464,http://dx.doi.org/10.1371/journal.pone.0088905,,2031808,5e597c7e-8056-4fa4-8e72-213bdb6a6464,PV R 8303,"Megalosaurus bucklandi Meyer, 1832",,,British Isles,,PAL,,,,,,Megalosaurus,bucklandi,,,,Jurassic,,
NHMUK 35432_5,http://data.nhm.ac.uk/specimen/639614db-7ec9-4a94-884d-7dd80859ec7a,http://dx.doi.org/10.1371/journal.pone.0034094,,2105186,639614db-7ec9-4a94-884d-7dd80859ec7a,PV OR 35432,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH M 9257,http://data.nhm.ac.uk/specimen/67033c65-667d-453c-8e69-265e640b2202,http://dx.doi.org/10.1371/journal.pone.0049054,,1808595,67033c65-667d-453c-8e69-265e640b2202,PV M 9257,,,,,,PAL,,,,,,,,,,,,,
BMNH M.15799,http://data.nhm.ac.uk/specimen/67631c1d-a6df-4517-a070-12ef8f77617c,http://dx.doi.org/10.1371/journal.pone.0109232,,516601,67631c1d-a6df-4517-a070-12ef8f77617c,PV M 15799,"Lammidhania wardi (Pilgrim, 1940)",,Lammidhan; Ganda Kas; Baral,Pakistan,,PAL,Animalia,Chordata,Mammalia,Perissodactyla,Anthracobunidae,Lammidhania,wardi,Animalia; Chordata; Vertebrata; Mammalia; Perissodactyla; Anthracobunidae,,,,Eocene,
NHMUK R1923,http://data.nhm.ac.uk/specimen/686758c8-c01f-435d-984a-07c5e355f41a,http://dx.doi.org/10.1371/journal.pone.0062421,,2105550,686758c8-c01f-435d-984a-07c5e355f41a,PV R 1923,"Ichthyosauria de Blainville, 1835",,,,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,,,,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 1899.5.1.413,http://data.nhm.ac.uk/specimen/69f6d47a-96df-411b-86ed-405338917a9a,http://dx.doi.org/10.1371/journal.pone.0040492,,902025,69f6d47a-96df-411b-86ed-405338917a9a,1899.5.1.413,Bugula uniserialis Hincks,,West Australia,Australia,,ZOO,,Bryozoa,,,,Bugula,uniserialis,Bryozoa,,,,,
NHMUK R176,http://data.nhm.ac.uk/specimen/6ad7dbc4-7c79-4447-8e14-9e5d05673d6c,http://dx.doi.org/10.1371/journal.pone.0033170,,1481682,6ad7dbc4-7c79-4447-8e14-9e5d05673d6c,PV R 176,"Istiodactylus latidens (Seeley, 1901)",Holotype,Brixton,British Isles,,PAL,Animalia,Chordata,Reptilia,Pterosauria,Istiodactylidae,Istiodactylus,latidens,Animalia; Chordata; Reptilia; Pterosauria; Istiodactylidae,,,Cretaceous,Early Cretaceous,Early Cretaceous
NHMUK R1629,http://data.nhm.ac.uk/specimen/6c31a461-809d-40ef-88de-ac1f64054749,http://dx.doi.org/10.1371/journal.pone.0045712,,2675432,6c31a461-809d-40ef-88de-ac1f64054749,PV R 1629,Iguanodon fittoni,,Hollington Quarry; Hastings,British Isles,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Iguanodontidae,Iguanodon,fittoni,Animalia; Chordata; Reptilia; Ornithischia; Iguanodontidae,,,,,
BMNH 1946.9.2.34,http://data.nhm.ac.uk/specimen/66c5a88b-bea4-4195-a586-00806f682272,http://dx.doi.org/10.1371/journal.pone.0080563,,315553,66c5a88b-bea4-4195-a586-00806f682272,1946.9.2.34-41,Lacerta danfordii anatolica,Types,"Zebil Bulghar Dagh, Cilician Taurus",,,ZOO,,,,,Lacertidae,Lacerta,danfordii,Lacertidae,,Male,,,
NHMUK 1968.1.18.104,http://data.nhm.ac.uk/specimen/6c786f14-5a1f-438b-a176-3d9f60d011d1,http://dx.doi.org/10.1371/journal.pone.0095296,two entries,1090660,6c786f14-5a1f-438b-a176-3d9f60d011d1,1968.1.18.104,"Scrupocellaria diegensis Robertson, 1905",,Pacific Grove.,,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomata,Candidae,Scrupocellaria,diegensis,Bryozoa; Gymnolaemata; Cheilostomata; Candidae,,,,,
NHMUK R4853,http://data.nhm.ac.uk/specimen/6c7d76b3-c2e0-410c-bad9-c3b8f95996ec,http://dx.doi.org/10.1371/journal.pone.0031838,,1722075,6c7d76b3-c2e0-410c-bad9-c3b8f95996ec,PV R 4853,"Rhomaleosaurus thorntoni Andrews, 1922",Holotype,Kingsthorpe,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Rhomaleosaurus,thorntoni,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria; Pliosauroidea,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK PV R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0084709,,792409,6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,PV R 2341,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0033170,,792409,6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,PV R 2341,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0049584,,792409,6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,PV R 2341,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R2341,http://data.nhm.ac.uk/specimen/6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,http://dx.doi.org/10.1371/journal.pone.0084709,,792409,6f3692a0-ff1c-4d29-b82a-6e54820c2ca4,PV R 2341,Ichthyosaurus sp.,,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,sp.,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK R1318,http://data.nhm.ac.uk/specimen/6f3ae866-9a77-46a9-a76f-8fb5f021bc41,http://dx.doi.org/10.1371/journal.pone.0031838,,1286327,6f3ae866-9a77-46a9-a76f-8fb5f021bc41,PV R 1318,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
BMNH M 9257,http://data.nhm.ac.uk/specimen/67033c65-667d-453c-8e69-265e640b2202,http://dx.doi.org/10.1371/journal.pone.0049054,,1808595,67033c65-667d-453c-8e69-265e640b2202,PV M 9257,,,,,,PAL,,,,,,,,,,,,,
NHMUK 35272,http://data.nhm.ac.uk/specimen/707025d8-00e7-4405-acde-2bb805ebee67,http://dx.doi.org/10.1371/journal.pone.0062421,,1240141,707025d8-00e7-4405-acde-2bb805ebee67,PV OR 35272,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK 47265,http://data.nhm.ac.uk/specimen/712b580e-4f24-4cfc-a9ce-ead677c91fd3,http://dx.doi.org/10.1371/journal.pone.0062421,can source back to ancient Lybekker catalogue https://archive.org/stream/catalogueoffossi02bri/catalogueoffossi02bri_djvu.txt,490047,712b580e-4f24-4cfc-a9ce-ead677c91fd3,PV OR 47265,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 47265_66*,http://data.nhm.ac.uk/specimen/712b580e-4f24-4cfc-a9ce-ead677c91fd3,http://dx.doi.org/10.1371/journal.pone.0034094,,490047,712b580e-4f24-4cfc-a9ce-ead677c91fd3,PV OR 47265,"Ichthyosaurus campylodon Carter, 1846",,,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 47269,http://data.nhm.ac.uk/specimen/72766a6e-f9ae-4cfa-a25e-a486e8792e52,http://dx.doi.org/10.1371/journal.pone.0034094,,1904848,72766a6e-f9ae-4cfa-a25e-a486e8792e52,PV OR 47269,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
NHMUK 47269,http://data.nhm.ac.uk/specimen/72766a6e-f9ae-4cfa-a25e-a486e8792e52,http://dx.doi.org/10.1371/journal.pone.0062421,,1904848,72766a6e-f9ae-4cfa-a25e-a486e8792e52,PV OR 47269,"Ichthyosaurus campylodon Carter, 1846",,Folkestone,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Ichthyosauridae,Ichthyosaurus,campylodon,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Cretaceous,Early Cretaceous,Late Cretaceous
BMNH M 85315,http://data.nhm.ac.uk/specimen/273019df-4252-4640-97f4-902ba8c9fc44,http://dx.doi.org/10.1371/journal.pone.0049054,,2101920,273019df-4252-4640-97f4-902ba8c9fc44,PV M 85315,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH.7.7.7.3359,http://data.nhm.ac.uk/specimen/97339171-a1d8-401b-8b8d-a153c18e3241,http://dx.doi.org/10.1371/journal.pone.0061998,Myotis lucifugus,2698901,97339171-a1d8-401b-8b8d-a153c18e3241,1907.7.7.3359,Myotis lucifugus,,,,,ZOO,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,lucifugus,Animalia; Chordata; Vertebrata; Mammalia; Chiroptera; Vespertilionidae; Vespertilioninae,,female,,,
NHMUK R3741,http://data.nhm.ac.uk/specimen/73be50cc-9404-4a2c-adc6-0713e054274b,http://dx.doi.org/10.1371/journal.pone.0036745,,2347321,73be50cc-9404-4a2c-adc6-0713e054274b,PV R 3741,"Kannemeyeria Seeley, 1908",,,,,PAL,Animalia,Chordata,Reptilia,Therapsida,Kannemeyeriidae,Kannemeyeria,,Animalia; Chordata; Reptilia; Synapsida; Therapsida; Dicynodontia; Kannemeyeriidae,,,,,
NHMUK R3741,http://data.nhm.ac.uk/specimen/73be50cc-9404-4a2c-adc6-0713e054274b,http://dx.doi.org/10.1371/journal.pone.0045712,,2347321,73be50cc-9404-4a2c-adc6-0713e054274b,PV R 3741,"Kannemeyeria Seeley, 1908",,,,,PAL,Animalia,Chordata,Reptilia,Therapsida,Kannemeyeriidae,Kannemeyeria,,Animalia; Chordata; Reptilia; Synapsida; Therapsida; Dicynodontia; Kannemeyeriidae,,,,,
BMNH M 85317,http://data.nhm.ac.uk/specimen/73dc0d26-02e4-4889-b6b3-d3617f47300e,http://dx.doi.org/10.1371/journal.pone.0049054,,1436957,73dc0d26-02e4-4889-b6b3-d3617f47300e,PV M 85317,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH M 85304,http://data.nhm.ac.uk/specimen/74387839-ba8a-4c6c-ba46-5a535637ec44,http://dx.doi.org/10.1371/journal.pone.0049054,,1646954,74387839-ba8a-4c6c-ba46-5a535637ec44,PV M 85304,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 1985.11.8.48-47,http://data.nhm.ac.uk/specimen/7747315f-5b7c-4c20-ae62-0fb26c2a4c54,http://dx.doi.org/10.1371/journal.pone.0079155,actually meant 1985.11.8.45-47,312998,7747315f-5b7c-4c20-ae62-0fb26c2a4c54,1985.11.8.45-47,Protomicrocotyle sp.,,,,,ZOO,Animalia,Platyhelminthes,Monogenea,,Microcotylidae,Protomicrocotyle,sp.,Animalia; Platyhelminthes; Monogenea; Microcotylidae,,,,,
BMNH M.15799,http://data.nhm.ac.uk/specimen/67631c1d-a6df-4517-a070-12ef8f77617c,http://dx.doi.org/10.1371/journal.pone.0109232,PV M 15799 Lammidhania wardi Pilgrim 1940,516601,67631c1d-a6df-4517-a070-12ef8f77617c,PV M 15799,"Lammidhania wardi (Pilgrim, 1940)",,Lammidhan; Ganda Kas; Baral,Pakistan,,PAL,Animalia,Chordata,Mammalia,Perissodactyla,Anthracobunidae,Lammidhania,wardi,Animalia; Chordata; Vertebrata; Mammalia; Perissodactyla; Anthracobunidae,,,,Eocene,
BMNH M 85301,http://data.nhm.ac.uk/specimen/477b9900-e0a7-442c-939f-048e3354bc14,http://dx.doi.org/10.1371/journal.pone.0049054,,2479075,477b9900-e0a7-442c-939f-048e3354bc14,PV M 85301,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK 1899.7.1.797,http://data.nhm.ac.uk/specimen/7829614c-3295-4c56-b595-6ac286587c5f,http://dx.doi.org/10.1371/journal.pone.0095296,,2421475,7829614c-3295-4c56-b595-6ac286587c5f,1899.7.1.797,"Scrupocellaria incurvata Waters, 1897",,"Suda Bay, Crete",Greece,,ZOO,,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Scrupocellaria,incurvata,Bryozoa; Gymnolaemata; Cheilostomatida; Candidae,,,,,
BMNH M 85316,http://data.nhm.ac.uk/specimen/d789f148-3393-4a48-9143-b3bbd0ed7dee,http://dx.doi.org/10.1371/journal.pone.0049054,,2234094,d789f148-3393-4a48-9143-b3bbd0ed7dee,PV M 85316,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
NHMUK R36629,http://data.nhm.ac.uk/specimen/7a594ee5-5575-4c9a-a88d-4afca03c4d74,http://dx.doi.org/10.1371/journal.pone.0062421,,2588970,7a594ee5-5575-4c9a-a88d-4afca03c4d74,PV R 36629,Ankylosauridae,,"Mexico Ranch, Red Deer River",Canada,,PAL,Animalia,Chordata,Reptilia,Ornithischia,Ankylosauridae,,,Animalia; Chordata; Reptilia; Ornithischia; Ankylosauridae,,,Cretaceous,Late Cretaceous,Late Cretaceous
NHMUK 48216,http://data.nhm.ac.uk/specimen/7ac3086c-d548-4ed1-962d-142a259fd488,http://dx.doi.org/10.1371/journal.pone.0118116,,2371907,7ac3086c-d548-4ed1-962d-142a259fd488,PV OR 48216,"Theriosuchus pusillus Owen, 1879",Paratype,Swanage,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Crocodylia,,Theriosuchus,pusillus,Animalia; Chordata; Reptilia; Crocodylia,,,Cretaceous,Late Jurassic,Early Cretaceous
BMNH M 85312,http://data.nhm.ac.uk/specimen/87bce8d5-1b40-46a2-9f9b-15f8bd7bddae,http://dx.doi.org/10.1371/journal.pone.0049054,,2668842,87bce8d5-1b40-46a2-9f9b-15f8bd7bddae,PV M 85312,"Apterodon langebadreae Grohé et al., 2012",Holotype,Site 6819 (Dor el Talha); Site 68.19; Dor el Talha; Gebel Coquin; Dur at Talhah,Libya,,PAL,Animalia,Chordata,Mammalia,Creodonta,Hyaenodontidae,Apterodon,langebadreae,Animalia; Chordata; Vertebrata; Mammalia; Creodonta; Hyaenodontidae,,,Paleogene,Eocene,Oligocene
BMNH 31806,http://data.nhm.ac.uk/specimen/87d919f1-1cca-4f48-8cb3-1c1a42b35b7b,http://dx.doi.org/10.1371/journal.pone.0088905,PV OR 31806,1869623,87d919f1-1cca-4f48-8cb3-1c1a42b35b7b,PV OR 31806,"Megalosaurus bucklandi Meyer, 1832",,Stonesfield,British Isles,,PAL,,,,,,Megalosaurus,bucklandi,,,,Jurassic,Middle Jurassic,Middle Jurassic
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0007390,"Archaeopteryx, PV OR 37001",2241404,57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,PV OR 37001,"Archaeopteryx lithographica von Meyer, 1861",Neotype,Quarry of Johann Friedrich Ottman,Germany,,PAL,Animalia,,Aves,,Archaeopterygidae,Archaeopteryx,lithographica,Animalia; Aves; Archaeopterygidae,,,Jurassic,Late Jurassic,Late Jurassic
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0022292,"Archaeopteryx, PV OR 37001",2241404,57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,PV OR 37001,"Archaeopteryx lithographica von Meyer, 1861",Neotype,Quarry of Johann Friedrich Ottman,Germany,,PAL,Animalia,,Aves,,Archaeopterygidae,Archaeopteryx,lithographica,Animalia; Aves; Archaeopterygidae,,,Jurassic,Late Jurassic,Late Jurassic
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0036664,"Archaeopteryx, PV OR 37001",2241404,57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,PV OR 37001,"Archaeopteryx lithographica von Meyer, 1861",Neotype,Quarry of Johann Friedrich Ottman,Germany,,PAL,Animalia,,Aves,,Archaeopterygidae,Archaeopteryx,lithographica,Animalia; Aves; Archaeopterygidae,,,Jurassic,Late Jurassic,Late Jurassic
BMNH 37001,http://data.nhm.ac.uk/specimen/57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,http://dx.doi.org/10.1371/journal.pone.0113559,"Archaeopteryx, PV OR 37001",2241404,57ee3bf1-0a74-4ae4-a588-ba9ea8dc5265,PV OR 37001,"Archaeopteryx lithographica von Meyer, 1861",Neotype,Quarry of Johann Friedrich Ottman,Germany,,PAL,Animalia,,Aves,,Archaeopterygidae,Archaeopteryx,lithographica,Animalia; Aves; Archaeopterygidae,,,Jurassic,Late Jurassic,Late Jurassic
BMNH M 9259,http://data.nhm.ac.uk/specimen/37f115c5-39cc-4d1d-994b-8a4e4fcd470f,http://dx.doi.org/10.1371/journal.pone.0049054,,1229476,37f115c5-39cc-4d1d-994b-8a4e4fcd470f,PV M 9259,,,,,,PAL,,,,,,,,,,,,,
NHMUK 20130091/1,http://data.nhm.ac.uk/specimen/7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,http://dx.doi.org/10.1371/journal.pone.0109785,,1387039,7f996e63-0d27-4c3f-a3ea-5ad9af3a7215,20130091,"Cyclophorus fulguratus var. var. Pfeiffer, 1869",POSSIBLE SYNTYPES,,Burma,,ZOO,Animalia,Mollusca,Gastropoda,,,Cyclophorus,fulguratus,Animalia; Mollusca; Gastropoda,,,,,
2028*,http://data.nhm.ac.uk/specimen/821cb059-4c8c-4833-91dc-396310e19c8d,http://dx.doi.org/10.1371/journal.pone.0031838,,822581,821cb059-4c8c-4833-91dc-396310e19c8d,PV OR 2028 *,"Eurycleidus arcuatus (Owen, 1840)",Lectotype,Street,United Kingdom,,PAL,Animalia,Chordata,Reptilia,Plesiosauria,,Eurycleidus,arcuatus,Animalia; Chordata; Reptilia; Sauropterygia; Plesiosauria,,,Jurassic,Early Jurassic,Early Jurassic
NHMUK R14370,http://data.nhm.ac.uk/specimen/83381d2b-565d-46d4-856a-e3f69db67332,http://dx.doi.org/10.1371/journal.pone.0062421,,1677867,83381d2b-565d-46d4-856a-e3f69db67332,PV R 14370,"Leptonectes moorei McGowan & Milner, 1999",Holotype,Seatown,British Isles,,PAL,Animalia,Chordata,Reptilia,Ichthyosauria,Leptonectidae,Leptonectes,moorei,Animalia; Chordata; Reptilia; Ichthyopterygia; Ichthyosauria; Merriamosauriformes; Euichthyosauria; ,,,Jurassic,Early Jurassic,Early Jurassic
