Putative Entity,NHM Data Portal Link,Article DOI Link,Notes
NHMUK R3393,http://data.nhm.ac.uk/specimen/2918e53c-2d42-44d7-bde1-c54b2e7284dd,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R8676,http://data.nhm.ac.uk/specimen/2950f09a-2c39-497e-8d6f-68349757fa11,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK R8676,http://data.nhm.ac.uk/specimen/2950f09a-2c39-497e-8d6f-68349757fa11,http://dx.doi.org/10.1371/journal.pone.0036745,
NHMUK R2358,http://data.nhm.ac.uk/specimen/2b697b3a-c7d3-4d31-b699-4b4e4429225b,http://dx.doi.org/10.1371/journal.pone.0036745,PV R or PV OR?
BMNH M 8437a,http://data.nhm.ac.uk/specimen/22ca4c323-5810-4b01-8dc7-cf203c973d98,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 8437b,http://data.nhm.ac.uk/specimen/22ca4c323-5810-4b01-8dc7-cf203c973d98,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK R45,http://data.nhm.ac.uk/specimen/2ccfa644-be74-47e0-82a1-228d97323bcc,http://dx.doi.org/10.1371/journal.pone.0031838,
BMNH M 8436,http://data.nhm.ac.uk/specimen/22cdeb90c-6bb0-4430-8e2b-5873db0caca8,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 2010.11.01.8,http://data.nhm.ac.uk/specimen/e2ce9828-596f-471a-b2f1-fd7e95ce4be1,http://dx.doi.org/10.1371/journal.pone.0042049,
2029*,http://data.nhm.ac.uk/specimen/2e1f8352-b81d-4680-807b-994902309a34,http://dx.doi.org/10.1371/journal.pone.0031838,
NHMUK 1934.10.8.1,http://data.nhm.ac.uk/specimen/310f1d31-8488-4a42-a439-54a9fdd22e70,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH(E)1038600,http://data.nhm.ac.uk/specimen/331b28f2c-6a1c-482d-bf2a-cf734e56d420,http://dx.doi.org/10.1371/journal.pone.0051220,
BMNH R.332,http://data.nhm.ac.uk/specimen/323b5add-5522-4d22-ad24-a08b49e74305,http://dx.doi.org/10.1371/journal.pone.0088905,
2061*,http://data.nhm.ac.uk/specimen/37087d0d-ff43-4ca6-8123-baff179d6595,http://dx.doi.org/10.1371/journal.pone.0031838,
BMMH M 9259,http://data.nhm.ac.uk/specimen/337f115c5-39cc-4d1d-994b-8a4e4fcd470f,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH M 85323,http://data.nhm.ac.uk/specimen/338698d5e-69f3-4f5c-8bba-5543021aac44,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 2012.8.23.6,http://data.nhm.ac.uk/specimen/038e765f-1a4a-4e9d-9c3e-86f13c07ab18,http://dx.doi.org/10.1371/journal.pone.0046421,
NHMUK 1899.7.1.780,http://data.nhm.ac.uk/specimen/3a27e517-bfcd-43e7-bd2e-9b4ec2e0a1af,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH M 85310,http://data.nhm.ac.uk/specimen/3a39692e-b26c-48c7-aabd-dc7160a45f5f,http://dx.doi.org/10.1371/journal.pone.0049054,
BMNH 1985.11.8.48-52,http://data.nhm.ac.uk/specimen/c3b4a716-1aa8-4c77-bd2f-dc6d4769da4e,http://dx.doi.org/10.1371/journal.pone.0079155,
NHMUK 1936.12.30.177,http://data.nhm.ac.uk/specimen/3c7eb3f9-83c8-4202-96d6-920f1f5f1e7e,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH 1983.2.15.7,http://data.nhm.ac.uk/specimen/f3d05e03-c2c2-47f9-8fd8-9faaadfa2b33,http://dx.doi.org/10.1371/journal.pone.0037520,
BMNH M 85317,http://data.nhm.ac.uk/specimen/73dc0d26-02e4-4889-b6b3-d3617f47300e,http://dx.doi.org/10.1371/journal.pone.0049054,
NHMUK R4523,http://data.nhm.ac.uk/specimen/3f327b68-fe33-4483-b0e0-c1c58bbbda1f,http://dx.doi.org/10.1371/journal.pone.0045712,
NHMUK 1899.7.1.780,http://data.nhm.ac.uk/specimen/3fccd62b-5c0d-4c08-aaa1-4f978bf216e8,http://dx.doi.org/10.1371/journal.pone.0095296,
NHMUK 1968.1.18.111,http://data.nhm.ac.uk/specimen/438c427c-6212-4b2b-9608-4594307617e7,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH 2012.8.23.1,http://data.nhm.ac.uk/specimen/8449d6f3-af9d-418b-8538-671664bf9536,http://dx.doi.org/10.1371/journal.pone.0046421,
BMNH M 85318,http://data.nhm.ac.uk/specimen/14502273-5337-4d1b-a7dd-52375f62e684,http://dx.doi.org/10.1371/journal.pone.0049054,figured
NHMUK 1926.9.6.84,http://data.nhm.ac.uk/specimen/4552c564-2e82-4bc1-b7de-2a0a39f145d5,http://dx.doi.org/10.1371/journal.pone.0095296,
BMNH 1865.7.17.24,http://data.nhm.ac.uk/specimen/f45fb5f5-086a-4215-b3ca-c3d4064b2203,http://dx.doi.org/10.1371/journal.pone.0021272,
BMNH M 85301,http://data.nhm.ac.uk/specimen/4477b9900-e0a7-442c-939f-048e3354bc14,http://dx.doi.org/10.1371/journal.pone.0049054,
